transaction_id,account_id,transaction_date,transaction_type,amount,channel,merchant_category,is_flagged,customer_id
500052,100570,2023-01-29 21:27:00,Credit,5451.21,UPI,Rent,N,894
500053,100695,2023-10-22 19:04:00,Debit,11414.94,Card,Rent,N,920
500054,101361,2023-09-17 21:41:00,Credit,15087.78,NetBanking,Shopping,N,1014
500055,100026,2023-08-28 14:09:00,Debit,2784.19,UPI,Fuel,N,491
500056,101433,2023-12-28 17:20:00,Debit,922.34,UPI,Electronics,N,449
500057,101101,2023-02-16 22:23:00,Credit,30447.5,NetBanking,Electronics,N,235
500058,100217,2023-08-23 01:24:00,Credit,11602.67,UPI,Rent,N,334
500059,101352,2023-11-30 13:24:00,Credit,12786.58,Card,Fuel,N,1198
500060,100837,2023-01-20 05:03:00,Debit,12242.33,UPI,Rent,N,615
500061,100774,2023-10-05 17:49:00,Debit,21195.05,Card,Salary,N,982
500062,101047,2023-09-09 11:05:00,Debit,2458.62,UPI,Salary,N,285
500063,100670,2023-04-24 05:53:00,Debit,14380.65,Card,Fuel,N,1136
500064,100718,2023-04-08 12:01:00,Debit,9608.45,UPI,Salary,N,232
500065,100310,2023-09-29 04:43:00,Debit,34189.3,ATM,Groceries,N,1092
500066,100599,2023-04-01 18:25:00,Debit,11097.7,UPI,Groceries,N,1043
500067,100267,2023-06-27 00:48:00,Debit,43053.46,Card,Groceries,N,895
500068,101439,2023-07-11 22:26:00,Credit,6637.0,UPI,Salary,N,912
500069,100646,2023-03-10 16:21:00,Credit,51220.93,UPI,Electronics,Y,214
500070,101291,2023-10-19 21:49:00,Credit,31310.59,Card,Groceries,N,1070
500071,101357,2023-04-19 04:52:00,Debit,13265.55,UPI,Rent,N,486
500072,101023,2023-09-09 22:12:00,Debit,6647.6,NetBanking,Electronics,Y,1142
500073,100450,2023-01-22 12:16:00,Debit,7172.23,Card,Fuel,N,187
500074,100565,2023-04-29 20:19:00,Debit,22325.71,ATM,Salary,Y,620
500075,101271,2023-01-08 19:11:00,Debit,13135.07,UPI,Rent,N,351
500076,101060,2023-04-04 08:00:00,Debit,7802.13,Card,Fuel,N,252
500077,101425,2023-06-20 18:20:00,Credit,15261.29,UPI,Salary,Y,749
500078,100028,2023-01-18 13:01:00,Debit,19920.72,NetBanking,Shopping,N,221
500079,100220,2023-07-19 14:06:00,Credit,447.5,UPI,Salary,N,1106
500080,100406,2023-10-03 08:16:00,Credit,1512.4,UPI,Rent,N,621
500081,100271,2023-04-24 01:34:00,Debit,1588.78,UPI,Shopping,N,1156
500082,100792,2023-01-03 11:50:00,Debit,4058.19,Branch,Salary,N,655
500083,100963,2023-09-21 02:30:00,Credit,8452.79,Card,Salary,N,231
500084,101310,2023-05-06 21:38:00,Debit,24517.84,UPI,Salary,N,492
500085,101478,2023-01-10 10:10:00,Debit,6587.13,Branch,Electronics,N,68
500086,100834,2023-06-10 20:01:00,Credit,364.48,UPI,Groceries,N,197
500087,100317,2023-12-18 15:58:00,Credit,10006.19,Card,Shopping,N,521
500088,101321,2023-09-27 11:14:00,Credit,85486.39,Card,Rent,N,676
500089,100338,2023-10-10 08:22:00,Debit,6539.17,NetBanking,Electronics,N,112
500090,101331,2023-06-27 02:19:00,Debit,48861.12,UPI,Rent,N,218
500091,101452,2023-09-17 19:16:00,Debit,1702.84,ATM,Electronics,N,315
500092,100351,2023-06-24 10:37:00,Debit,2951.07,Card,Salary,N,710
500093,100511,2023-03-29 12:26:00,Debit,19416.95,UPI,Shopping,N,997
500094,100525,2023-05-07 12:46:00,Debit,10533.63,UPI,Salary,N,273
500095,100492,2023-08-16 16:33:00,Credit,21830.32,Card,Shopping,N,586
500096,100009,2023-01-06 16:04:00,Credit,29977.87,Card,Shopping,N,1021
500097,100561,2023-12-31 20:47:00,Credit,4436.94,ATM,Shopping,N,963
500098,100440,2023-07-24 02:24:00,Credit,17324.72,UPI,Electronics,N,956
500099,100792,2023-03-03 20:34:00,Debit,14132.15,UPI,Salary,N,655
500100,101132,2023-12-07 23:14:00,Debit,29757.07,Card,Shopping,N,503
500101,101269,2023-11-03 03:24:00,Credit,8534.52,Card,Groceries,N,154
500102,101279,2023-04-30 07:31:00,Credit,898.96,NetBanking,Rent,N,772
500103,100033,2023-01-21 15:38:00,Debit,12906.29,Card,Shopping,N,1066
500104,101047,2023-12-31 00:49:00,Debit,47968.3,Card,Salary,N,285
500105,100845,2023-06-22 12:33:00,Credit,321.09,UPI,Shopping,N,836
500106,100566,2023-08-03 15:05:00,Debit,4221.65,UPI,Shopping,N,1164
500107,100049,2023-09-25 01:52:00,Debit,5798.45,Card,Fuel,N,274
500108,100462,2023-07-18 10:05:00,Debit,21876.19,UPI,Electronics,N,537
500109,100590,2023-03-08 10:32:00,Credit,5957.4,Branch,Shopping,N,1158
500110,100336,2023-01-15 22:05:00,Debit,4198.48,NetBanking,Electronics,N,610
500111,101382,2023-06-05 09:33:00,Credit,15785.66,ATM,Shopping,N,373
500112,101146,2023-12-31 03:41:00,Debit,812.75,UPI,Salary,N,1117
500113,101468,2023-01-20 16:50:00,Debit,2905.73,ATM,Electronics,N,547
500114,100359,2023-06-19 05:47:00,Credit,7964.5,Card,Fuel,N,1078
500115,100346,2023-06-22 17:06:00,Debit,6691.53,Card,Electronics,N,569
500116,100193,2023-01-14 03:34:00,Debit,6496.48,UPI,Fuel,N,415
500117,101440,2023-07-29 05:09:00,Debit,1823.67,NetBanking,Electronics,N,761
500118,101401,2023-11-30 03:57:00,Credit,6814.01,Card,Electronics,N,1153
500119,101487,2023-11-28 05:26:00,Debit,24091.78,UPI,Fuel,N,39
500120,100756,2023-05-13 17:57:00,Debit,8112.54,UPI,Rent,N,792
500121,101170,2023-08-10 07:27:00,Credit,13334.54,ATM,Shopping,N,620
500122,100478,2023-08-24 20:36:00,Debit,2779.36,UPI,Groceries,N,1154
500123,100828,2023-11-05 21:22:00,Debit,1183.91,UPI,Shopping,N,353
500124,100890,2023-08-11 08:08:00,Credit,31898.46,UPI,Fuel,N,1194
500125,100653,2023-07-20 05:51:00,Debit,6137.92,NetBanking,Groceries,N,1036
500126,100408,2023-06-28 12:51:00,Debit,6569.53,UPI,Shopping,N,704
500127,100286,2023-06-03 11:22:00,Debit,31617.68,UPI,Shopping,N,13
500128,100851,2023-04-20 15:13:00,Credit,18553.28,UPI,Electronics,N,307
500129,100111,2023-03-17 03:02:00,Debit,21274.96,Card,Rent,N,594
500130,100620,2023-11-28 08:38:00,Debit,17285.72,Card,Fuel,N,840
500131,100793,2023-12-02 17:10:00,Credit,1777.26,NetBanking,Rent,N,760
500132,100050,2023-07-22 20:32:00,Debit,47649.79,Card,Fuel,N,956
500133,101038,2023-12-22 15:15:00,Debit,36075.92,ATM,Shopping,N,423
500134,101158,2023-06-24 02:34:00,Debit,4142.13,ATM,Salary,N,536
500135,100588,2023-06-26 10:15:00,Credit,24544.16,Card,Fuel,N,674
500136,100596,2023-10-04 07:11:00,Debit,7999.15,UPI,Groceries,N,1075
500137,101367,2023-11-28 09:30:00,Credit,17369.14,Card,Salary,N,31
500138,100670,2023-03-04 22:38:00,Credit,2815.69,UPI,Electronics,N,1136
500139,101310,2023-12-11 17:12:00,Debit,11700.86,NetBanking,Shopping,N,492
500140,100314,2023-02-15 18:16:00,Debit,2130.7,ATM,Fuel,N,363
500141,100606,2023-05-20 17:27:00,Credit,11623.47,ATM,Shopping,N,647
500142,100297,2023-10-30 21:12:00,Debit,4287.65,ATM,Groceries,N,1103
500143,100569,2023-12-09 18:37:00,Debit,9134.98,Card,Electronics,N,781
500144,101188,2023-07-11 14:14:00,Debit,16637.92,ATM,Groceries,N,835
500145,100832,2023-05-07 02:53:00,Debit,31542.66,ATM,Electronics,N,284
500146,100610,2023-06-24 19:31:00,Debit,2810.05,UPI,Shopping,N,143
500147,100016,2023-01-03 10:34:00,Debit,33661.67,UPI,Fuel,N,146
500148,101368,2023-02-11 02:47:00,Debit,7515.37,UPI,Rent,N,605
500149,101102,2023-01-12 09:05:00,Debit,27948.94,UPI,Electronics,N,718
500150,101370,2023-04-14 17:49:00,Credit,10878.45,NetBanking,Shopping,N,1108
500151,100072,2023-01-18 06:41:00,Credit,29830.21,Card,Rent,N,617
500152,100270,2023-09-17 15:45:00,Debit,16407.26,UPI,Electronics,N,216
500153,100287,2023-06-09 15:45:00,Debit,10761.0,UPI,Rent,N,1042
500154,100066,2023-12-22 22:07:00,Debit,5721.24,ATM,Fuel,N,79
500155,100880,2023-10-20 11:31:00,Debit,52162.6,ATM,Groceries,N,588
500156,100068,2023-02-10 11:48:00,Debit,24309.04,Card,Fuel,N,525
500157,101217,2023-09-16 18:59:00,Debit,7299.29,ATM,Electronics,N,447
500158,101079,2023-05-12 07:26:00,Credit,2835.85,NetBanking,Salary,N,530
500159,100980,2023-12-22 12:52:00,Debit,22780.27,UPI,Groceries,N,820
500160,101403,2023-06-25 21:07:00,Debit,69094.22,UPI,Rent,N,948
500161,100974,2023-09-13 03:21:00,Debit,5006.22,NetBanking,Groceries,N,49
500162,101192,2023-08-31 10:37:00,Debit,37229.65,UPI,Groceries,N,728
500163,101433,2023-02-11 09:16:00,Credit,2109.33,UPI,Fuel,N,449
500164,100508,2023-12-21 13:36:00,Debit,45712.91,UPI,Electronics,N,1103
500165,100837,2023-02-13 04:00:00,Credit,20617.33,ATM,Shopping,N,615
500166,101126,2023-11-16 00:27:00,Debit,6483.4,UPI,Shopping,N,1132
500167,100886,2023-06-24 05:34:00,Debit,5549.71,NetBanking,Fuel,N,368
500168,100794,2023-08-27 02:33:00,Credit,15568.6,NetBanking,Electronics,N,639
500169,100422,2023-02-12 06:03:00,Debit,13602.83,NetBanking,Salary,N,583
500170,100775,2023-10-17 00:59:00,Debit,37787.87,UPI,Fuel,N,972
500171,100478,2023-08-26 17:13:00,Credit,21902.11,Branch,Salary,N,1154
500172,100926,2023-10-30 06:53:00,Debit,11759.83,Card,Electronics,N,754
500173,100120,2023-02-20 16:21:00,Credit,39476.16,UPI,Groceries,N,216
500174,101315,2023-08-16 13:57:00,Debit,13574.21,UPI,Salary,N,258
500175,100488,2023-04-22 01:41:00,Debit,28525.32,Card,Salary,N,661
500176,101185,2023-06-11 21:51:00,Debit,27677.36,Card,Electronics,N,534
500177,100078,2023-11-29 19:01:00,Credit,37835.72,UPI,Electronics,N,990
500178,101062,2023-06-08 23:07:00,Debit,1149.93,ATM,Fuel,N,920
500179,101418,2023-03-29 16:43:00,Debit,13249.55,Branch,Fuel,N,404
500180,100441,2023-07-19 11:18:00,Debit,9577.75,UPI,Electronics,N,1121
500181,100462,2023-02-19 01:36:00,Debit,10216.13,UPI,Salary,N,537
500182,100612,2023-09-24 08:56:00,Debit,9340.31,NetBanking,Rent,N,378
500183,101318,2023-11-04 22:09:00,Debit,27353.08,UPI,Fuel,N,10
500184,101424,2023-10-04 08:11:00,Credit,5850.41,NetBanking,Electronics,N,628
500185,100917,2023-09-30 19:18:00,Debit,9419.41,Card,Rent,N,911
500186,101116,2023-07-25 18:26:00,Debit,3459.96,UPI,Rent,N,133
500187,100609,2023-03-12 06:13:00,Debit,4449.6,UPI,Rent,N,523
500188,100006,2023-09-08 00:02:00,Debit,16300.69,UPI,Rent,N,297
500189,100681,2023-03-12 19:40:00,Credit,1965.36,UPI,Groceries,N,478
500190,100895,2023-12-10 22:01:00,Debit,3220.53,Card,Fuel,N,1174
500191,100271,2023-03-14 07:22:00,Debit,11362.74,ATM,Rent,Y,1156
500192,100811,2023-04-14 02:15:00,Debit,771.4,Card,Rent,N,461
500193,100559,2023-12-14 02:45:00,Credit,2136.04,Card,Electronics,N,301
500194,100099,2023-11-09 22:15:00,Credit,29955.31,ATM,Shopping,N,788
500195,100526,2023-08-31 11:12:00,Debit,28176.34,Branch,Electronics,N,588
500196,100194,2023-04-17 04:55:00,Debit,6510.51,Card,Shopping,N,1119
500197,101181,2023-12-29 18:17:00,Debit,6515.46,NetBanking,Groceries,N,66
500198,101139,2023-04-12 08:22:00,Debit,41454.38,UPI,Rent,N,1102
500199,100396,2023-08-10 23:11:00,Debit,492.71,Card,Groceries,N,1121
500200,100770,2023-11-08 22:07:00,Credit,13123.07,ATM,Shopping,N,668
500201,101024,2023-09-11 20:53:00,Debit,13746.83,NetBanking,Electronics,N,703
500202,100880,2023-06-30 23:57:00,Credit,23359.55,ATM,Shopping,N,588
500203,101238,2023-10-30 21:56:00,Debit,45570.55,UPI,Fuel,N,786
500204,100745,2023-06-15 22:56:00,Credit,6696.83,UPI,Salary,N,1185
500205,100683,2023-04-24 06:42:00,Debit,8739.36,UPI,Salary,N,1044
500206,100015,2023-08-19 20:14:00,Debit,16789.08,UPI,Shopping,N,771
500207,101443,2023-08-30 06:37:00,Credit,51392.69,ATM,Groceries,N,397
500208,100368,2023-07-18 02:42:00,Debit,33317.56,NetBanking,Electronics,N,108
500209,100638,2023-05-28 16:05:00,Debit,16596.58,UPI,Salary,N,883
500210,100853,2023-12-08 21:56:00,Credit,29244.69,UPI,Rent,N,655
500211,101237,2023-11-15 09:20:00,Debit,1435.82,NetBanking,Fuel,N,999
500212,100700,2023-12-26 12:01:00,Debit,7201.19,UPI,Electronics,Y,57
500213,100005,2023-08-01 11:23:00,Credit,297.68,Branch,Groceries,Y,58
500214,100231,2023-09-01 14:11:00,Credit,3030.6,UPI,Electronics,N,1117
500215,101225,2023-06-29 09:12:00,Credit,15033.77,ATM,Fuel,N,395
500216,101426,2023-05-28 08:34:00,Debit,32615.78,UPI,Shopping,N,105
500217,101173,2023-04-22 03:25:00,Credit,15126.92,Branch,Electronics,N,814
500218,101012,2023-08-01 20:54:00,Credit,16465.83,NetBanking,Shopping,N,55
500219,101250,2023-08-05 17:40:00,Credit,1744.24,NetBanking,Groceries,N,822
500220,100586,2023-09-09 01:23:00,Credit,16498.13,UPI,Rent,N,78
500221,100169,2023-07-11 19:27:00,Debit,9186.57,Branch,Electronics,N,1059
500222,100761,2023-09-05 12:50:00,Debit,15909.18,NetBanking,Groceries,N,5
500223,100792,2023-11-26 22:55:00,Debit,6021.73,ATM,Shopping,N,655
500224,101000,2023-03-13 08:36:00,Credit,13165.67,Card,Shopping,N,156
500225,100152,2023-03-22 19:11:00,Debit,8376.52,Branch,Rent,N,894
500226,101016,2023-05-26 02:56:00,Credit,12368.32,ATM,Salary,N,973
500227,100224,2023-08-21 17:08:00,Credit,2486.51,UPI,Electronics,N,550
500228,100504,2023-05-07 13:57:00,Credit,7658.37,NetBanking,Rent,N,1019
500229,100044,2023-10-12 01:13:00,Credit,7132.75,ATM,Shopping,N,287
500230,100697,2023-08-29 16:32:00,Credit,20099.53,Branch,Salary,N,1144
500231,100504,2023-11-18 13:49:00,Credit,18483.54,ATM,Shopping,N,1019
500232,101265,2023-12-26 17:56:00,Credit,36030.16,UPI,Electronics,N,471
500233,100930,2023-03-04 10:17:00,Debit,15097.35,ATM,Electronics,N,708
500234,100843,2023-03-28 16:26:00,Debit,5765.13,Card,Fuel,N,1066
500235,100351,2023-02-10 04:18:00,Debit,23033.41,UPI,Electronics,N,710
500236,100023,2023-12-24 17:31:00,Debit,10407.41,ATM,Electronics,N,429
500237,100598,2023-05-06 02:41:00,Debit,3325.64,UPI,Rent,N,480
500238,101067,2023-12-08 11:47:00,Credit,20739.9,Card,Groceries,N,433
500239,100466,2023-08-24 12:16:00,Credit,2232.64,Branch,Fuel,Y,1141
500240,100040,2023-09-20 17:29:00,Debit,3043.02,Card,Electronics,N,1094
500241,100303,2023-10-30 09:36:00,Credit,21429.19,Card,Rent,N,826
500242,100175,2023-05-29 23:21:00,Debit,22154.58,UPI,Shopping,Y,1
500243,100999,2023-06-22 12:22:00,Debit,23565.63,ATM,Shopping,N,25
500244,101485,2023-12-04 07:41:00,Credit,5307.77,ATM,Rent,N,1045
500245,100621,2023-05-05 15:48:00,Debit,30314.64,Card,Groceries,N,1173
500246,101217,2023-12-03 06:45:00,Credit,19338.11,NetBanking,Salary,N,447
500247,100244,2023-07-14 06:09:00,Debit,27033.57,Card,Electronics,N,503
500248,100836,2023-07-06 23:55:00,Debit,18596.16,Branch,Salary,N,878
500249,100280,2023-06-01 18:45:00,Credit,13098.1,NetBanking,Groceries,N,318
500250,101060,2023-04-23 12:08:00,Debit,1837.81,UPI,Rent,N,252
500251,100557,2023-03-02 11:21:00,Credit,18716.62,ATM,Salary,N,538
500252,100898,2023-02-07 02:41:00,Debit,17690.06,NetBanking,Groceries,N,59
500253,101178,2023-11-07 23:34:00,Debit,5720.21,NetBanking,Salary,N,355
500254,101047,2023-07-18 00:31:00,Credit,20066.86,UPI,Shopping,N,285
500255,100719,2023-05-24 14:42:00,Credit,12092.77,Card,Rent,Y,343
500256,100932,2023-07-19 10:19:00,Debit,12394.48,ATM,Electronics,N,1108
500257,100091,2023-12-01 14:18:00,Debit,6973.61,UPI,Shopping,N,572
500258,100390,2023-09-19 05:53:00,Credit,1962.8,NetBanking,Shopping,N,751
500259,101383,2023-01-19 15:46:00,Debit,3767.97,NetBanking,Fuel,N,225
500260,100550,2023-06-14 14:12:00,Debit,22069.14,ATM,Shopping,N,148
500261,100931,2023-12-20 15:49:00,Credit,4850.31,UPI,Rent,N,1068
500262,101252,2023-01-06 02:24:00,Debit,133.83,NetBanking,Salary,N,514
500263,101226,2023-08-19 20:32:00,Debit,87324.5,ATM,Electronics,N,326
500264,101374,2023-03-16 21:59:00,Debit,3648.79,UPI,Fuel,N,1117
500265,101062,2023-11-19 19:23:00,Credit,16079.83,UPI,Shopping,N,920
500266,100733,2023-10-20 17:01:00,Debit,39343.42,UPI,Groceries,N,402
500267,100500,2023-11-03 20:10:00,Credit,13833.59,Card,Electronics,N,1038
500268,101067,2023-12-19 00:50:00,Debit,24169.04,UPI,Rent,Y,433
500269,100871,2023-07-14 13:11:00,Debit,56279.66,UPI,Salary,N,939
500270,100517,2023-07-19 14:01:00,Debit,29630.68,NetBanking,Shopping,N,1178
500271,100068,2023-01-21 16:24:00,Debit,12343.43,Branch,Fuel,N,525
500272,100123,2023-01-31 17:01:00,Debit,6881.35,UPI,Shopping,N,217
500273,100336,2023-01-04 06:16:00,Debit,9980.16,UPI,Electronics,N,610
500274,101177,2023-09-04 23:55:00,Credit,27760.91,ATM,Fuel,N,262
500275,100974,2023-01-25 01:15:00,Credit,28896.07,UPI,Fuel,N,49
500276,100779,2023-08-11 16:47:00,Debit,28147.92,UPI,Electronics,N,986
500277,101186,2023-01-09 04:57:00,Credit,13740.64,UPI,Shopping,N,1131
500278,101238,2023-12-28 13:54:00,Credit,9821.34,NetBanking,Salary,N,786
500279,101400,2023-08-09 10:02:00,Debit,5695.07,Branch,Shopping,N,923
500280,101467,2023-05-15 11:34:00,Debit,150.5,NetBanking,Groceries,N,56
500281,100423,2023-03-27 01:15:00,Debit,21789.73,Card,Electronics,N,515
500282,100939,2023-06-05 02:58:00,Debit,4965.16,Card,Groceries,N,1169
500283,100804,2023-02-10 03:02:00,Debit,6099.95,ATM,Fuel,N,26
500284,100634,2023-02-26 01:59:00,Debit,27918.69,ATM,Fuel,N,522
500285,101254,2023-12-16 06:52:00,Debit,904.99,Card,Salary,N,681
500286,101083,2023-12-23 02:53:00,Credit,39487.45,Card,Electronics,N,428
500287,100096,2023-05-23 02:35:00,Credit,120.44,UPI,Shopping,N,735
500288,101286,2023-01-12 07:31:00,Debit,42094.86,UPI,Electronics,N,97
500289,100354,2023-06-04 04:47:00,Credit,9197.9,Branch,Rent,N,897
500290,101336,2023-03-07 15:35:00,Debit,1715.83,UPI,Salary,N,271
500291,101160,2023-10-23 23:28:00,Credit,16920.3,UPI,Electronics,N,955
500292,100967,2023-12-14 09:49:00,Debit,34029.77,ATM,Fuel,N,691
500293,100923,2023-10-28 09:26:00,Debit,8745.75,UPI,Salary,N,854
500294,100473,2023-01-06 22:57:00,Debit,17733.59,UPI,Rent,N,609
500295,100430,2023-02-23 23:00:00,Debit,58309.84,UPI,Rent,N,270
500296,100975,2023-07-05 16:01:00,Debit,4230.39,Card,Shopping,N,1169
500297,100537,2023-04-20 08:41:00,Debit,25859.48,UPI,Fuel,N,912
500298,101170,2023-05-06 01:52:00,Debit,5348.41,Card,Shopping,N,620
500299,100087,2023-03-18 03:37:00,Debit,8435.71,UPI,Electronics,N,73
500300,100109,2023-05-26 03:22:00,Credit,5064.4,UPI,Fuel,Y,698
500301,101447,2023-10-07 18:45:00,Debit,8959.18,NetBanking,Rent,N,1127
500302,101369,2023-12-24 08:31:00,Credit,176.53,Card,Salary,N,502
500303,101290,2023-05-14 16:55:00,Credit,5524.0,Card,Electronics,N,1126
500304,100994,2023-08-02 23:51:00,Debit,8939.76,UPI,Fuel,N,80
500305,101357,2023-10-13 15:44:00,Debit,15104.88,UPI,Shopping,N,486
500306,100822,2023-01-03 16:17:00,Credit,15315.23,NetBanking,Electronics,N,821
500307,101437,2023-05-13 00:11:00,Debit,13248.32,UPI,Salary,N,16
500308,100937,2023-06-02 19:59:00,Credit,5301.54,NetBanking,Rent,N,165
500309,101005,2023-07-10 21:19:00,Debit,44276.82,ATM,Fuel,N,277
500310,100649,2023-08-19 01:36:00,Debit,7562.96,Card,Rent,N,850
500311,100191,2023-08-27 05:43:00,Debit,3767.31,Card,Shopping,N,116
500312,100933,2023-07-22 17:00:00,Debit,12228.81,ATM,Shopping,N,207
500313,100142,2023-09-12 15:15:00,Credit,20830.27,UPI,Fuel,N,518
500314,101097,2023-05-02 01:04:00,Credit,284.64,Card,Electronics,N,167
500315,100840,2023-02-06 22:54:00,Credit,4951.59,NetBanking,Groceries,N,570
500316,101191,2023-10-21 22:12:00,Debit,26242.64,UPI,Fuel,N,396
500317,100168,2023-10-13 23:20:00,Debit,10709.33,UPI,Fuel,N,708
500318,100566,2023-12-09 19:43:00,Debit,7976.11,UPI,Rent,N,1164
500319,101283,2023-07-21 17:17:00,Credit,40183.29,ATM,Groceries,N,64
500320,101463,2023-09-26 09:45:00,Debit,1507.0,UPI,Shopping,N,498
500321,101135,2023-01-28 06:48:00,Debit,14439.91,NetBanking,Groceries,N,45
500322,100744,2023-05-03 10:59:00,Credit,6382.56,ATM,Groceries,N,1188
500323,100673,2023-07-24 09:19:00,Debit,1201.85,NetBanking,Groceries,N,477
500324,100864,2023-08-27 18:02:00,Debit,3707.1,NetBanking,Salary,N,804
500325,100839,2023-09-16 05:59:00,Debit,14930.23,UPI,Electronics,N,368
500326,100531,2023-12-13 23:48:00,Debit,530.27,UPI,Fuel,N,567
500327,101314,2023-09-06 16:37:00,Credit,13556.47,NetBanking,Electronics,N,777
500328,100974,2023-10-29 04:53:00,Debit,47246.24,ATM,Shopping,Y,49
500329,100562,2023-02-07 23:56:00,Debit,23878.21,UPI,Electronics,N,68
500330,100175,2023-04-04 00:23:00,Debit,6460.48,NetBanking,Electronics,N,1
500331,100302,2023-07-27 23:59:00,Debit,2331.11,ATM,Electronics,N,866
500332,100185,2023-09-16 17:19:00,Debit,9484.13,UPI,Salary,N,383
500333,101363,2023-04-18 02:20:00,Debit,7587.17,ATM,Rent,N,248
500334,100510,2023-01-30 15:20:00,Debit,53590.88,NetBanking,Salary,N,988
500335,100819,2023-11-14 13:47:00,Debit,68980.93,UPI,Fuel,N,616
500336,101334,2023-09-13 14:12:00,Credit,8029.36,UPI,Groceries,N,236
500337,101370,2023-08-24 03:57:00,Debit,2516.34,UPI,Rent,N,1108
500338,101105,2023-11-05 20:44:00,Credit,36321.12,NetBanking,Fuel,N,816
500339,101398,2023-09-28 01:50:00,Debit,23764.89,Card,Shopping,N,537
